photoid,school,hispanic,female1,female2,female3,female4,grades1,grades2,grades3,grades4,eversmk1,eversmk2,eversmk3,eversmk4,everdrk1,everdrk2,everdrk3,everdrk4,home1,home2,home3,home4,sch_friend11,sch_friend12,sch_friend13,sch_friend14,sch_friend15,sch_friend16,sch_friend17,sch_friend18,sch_friend19,sch_friend110,sch_friend111,sch_friend112,sch_friend113,sch_friend114,sch_friend115,sch_friend116,sch_friend117,sch_friend118,sch_friend119,sch_friend21,sch_friend22,sch_friend23,sch_friend24,sch_friend25,sch_friend26,sch_friend27,sch_friend28,sch_friend29,sch_friend210,sch_friend211,sch_friend212,sch_friend213,sch_friend214,sch_friend215,sch_friend216,sch_friend217,sch_friend218,sch_friend219,sch_friend31,sch_friend32,sch_friend33,sch_friend34,sch_friend35,sch_friend36,sch_friend37,sch_friend38,sch_friend39,sch_friend310,sch_friend311,sch_friend312,sch_friend313,sch_friend314,sch_friend315,sch_friend316,sch_friend317,sch_friend318,sch_friend319,sch_friend41,sch_friend42,sch_friend43,sch_friend44,sch_friend45,sch_friend46,sch_friend47,sch_friend48,sch_friend49,sch_friend410,sch_friend411,sch_friend412,sch_friend413,sch_friend414,sch_friend415,sch_friend416,sch_friend417,sch_friend418,sch_friend419
1,111,1,NA,NA,0,0,NA,NA,3.5,3.5,NA,0,0,0,1,0,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347,442,279,188,198,346,NA,241,420,441,483,375,NA,NA,NA,NA,NA,NA,NA,347,420,442,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,111,1,0,NA,NA,0,3,NA,NA,2,0,0,0,0,1,1,1,1,2,NA,NA,2,424,423,426,289,321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424,205,536,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,111,0,1,1,1,1,5,4.5,4,4.5,0,0,0,0,0,0,0,0,2,2,2,2,629,505,NA,NA,NA,NA,NA,146,145,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,629,505,575,NA,NA,NA,NA,629,575,505,145,371,567,368,NA,NA,NA,NA,NA,NA,629,505,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,111,1,1,1,1,1,2.5,2.5,2.5,1.5,0,0,0,0,NA,NA,NA,NA,2,2,2,2,232,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,387,NA,NA,NA,NA,NA,522,606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608,387,93,119,627,610,569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,111,1,1,1,1,NA,3,3.5,3.5,3.5,0,0,0,0,0,0,0,0,2,2,2,NA,582,134,41,592,68,554,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,557,41,68,NA,582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,118,68,233,NA,NA,NA,10,NA,605,452,470,446,582,557,NA,494,167,148,NA,NA,599,NA,134,NA,377,41,233,494,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,111,1,0,0,0,0,2.5,2.5,1.5,3.5,1,1,1,1,1,1,1,1,1,1,1,1,26,488,81,138,2,339,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502,225,549,81,26,49,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,452,NA,199,NA,549,319,506,49,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,NA,313,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,111,1,1,1,1,1,2.5,2.5,1.5,2.5,0,0,0,0,0,0,0,0,1,1,1,1,528,NA,492,395,NA,NA,NA,30,385,378,373,337,386,433,391,564,NA,NA,NA,492,528,541,190,192,310,334,246,22,46,27,49,97,273,337,NA,372,366,357,363,79,NA,NA,NA,NA,NA,49,53,130,148,192,NA,246,278,311,322,297,443,79,214,440,NA,NA,NA,NA,188,278,NA,NA,NA,NA,544,109,110,NA,NA,NA
22,111,1,NA,NA,0,0,NA,NA,3.5,4.5,NA,0,0,0,1,0,0,0,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470,258,259,167,373,71,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,258,71,143,427,470,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,111,0,1,1,NA,1,4.5,3.5,NA,4.5,0,0,0,0,0,0,0,0,1,1,NA,1,135,185,553,84,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,185,NA,305,553,213,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,111,1,0,NA,0,0,3.5,NA,3.5,3.5,0,0,0,0,0,0,0,0,1,NA,1,1,346,168,559,5,411,283,NA,1,20,44,64,119,67,115,166,NA,NA,NA,NA,346,168,NA,411,279,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,297,411,NA,346,NA,NA,NA,461,462,484,487,512,619,39,14,30,35,52,95,166,248,330,346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
